5000,4,1
6429,2,2
6809,2,2
7169,2,2
7569,2,2
7969,2,3
8379,2,3
8789,2,3
9169,2,3
9559,2,2
9969,2,2
10369,2,2
10789,2,2
10789,4,3
11189,2,3
11579,2,3
12789,2,3
13179,3,3
13569,4,2
13569,2,2
13979,3,2
14369,2,3
14779,3,3
14779,4,2
15179,2,2
15579,3,2
15989,2,3
16349,1,3
16349,4,2
16759,2,2
17159,1,2
17569,2,1
17979,1,1
17979,4,2
18409,2,2
18799,1,2
19209,2,3
19589,3,3
20019,2,2
20399,3,2
20399,4,1
20799,2,1
21209,3,1
21579,2,3
21989,3,3
22389,2,4
22749,1,4
23179,2,3
23579,1,3
23959,2,2
24329,1,2
24759,2,3
25599,2,3
26019,3,2
26409,2,2
26809,3,1
27199,2,1
27579,1,2
27999,2,2
28349,1,3
28789,2,3
29159,3,4
29579,2,4
30009,3,3
30399,2,3
30399,4,3
30809,1,2
31189,2,2
31579,1,1
31999,2,1
32399,3,2
32789,2,2
33169,3,3
33569,2,3
33939,1,2
34389,2,2
34779,1,3
35189,2,3
35569,3,2
35979,2,2
36389,3,1
36789,2,1
37159,1,2
37559,2,2
38369,2,3
38759,2,3
39169,2,3
39549,2,3
39939,2,4
40329,2,4
40759,2,4
41159,4,4
41559,2,3
41929,2,3
42319,2,3
42739,2,3
43169,2,2
43589,2,2
44009,2,1
44389,2,1
44789,4,2
45199,2,2
45619,2,2
46009,2,2
46379,4,3
46769,2,3
47189,2,3
47579,2,3
47979,2,4
48389,2,4
48759,2,3
49139,2,3
49549,2,2
49989,2,2
50379,2,1
51209,2,1
51619,3,2
52009,2,2
52369,1,3
52759,2,3
53179,1,2
53599,2,2
53999,3,1
54399,2,1
54799,1,2
55179,2,2
55599,1,3
55989,2,3
56389,3,4
56799,2,4
57169,3,3
57539,2,3
57949,1,2
58359,2,2
58769,1,3
59169,2,3
59559,3,4
59939,2,4
60349,3,3
60749,2,3
61119,1,2
61539,2,2
61979,1,1
62399,2,1
62779,3,2
63189,2,2
63589,1,1
63989,2,1
64389,3,2
64799,2,2
65579,2,3
65999,1,3
66409,2,3
67159,2,2
67599,3,2
67959,2,2
68799,2,3
69159,1,3
69579,2,3
70389,2,4
70789,3,4
71159,2,4
71159,4,3
71989,2,3
72389,1,3
72799,2,3
73589,2,2
73969,3,2
74509,2,2
75209,2,1
75589,1,1
75959,2,1
76739,2,2
77139,3,2
77429,3,3
77559,2,3
78349,2,2
78769,1,2
79029,1,1
79149,2,1
79969,2,2
80369,3,2
80759,2,2
81589,2,3
81959,1,3
82369,2,3
83169,2,2
83579,3,2
83959,2,2
84769,2,1
85179,1,2
85309,1,2
85449,1,2
85589,2,2
86389,2,3
86769,3,3
87189,2,3
87189,4,1
87999,2,1
88389,2,1
88769,2,1
89529,2,2
89929,3,2
90369,2,3
90769,3,3
91169,2,4
91589,3,4
91969,2,3
92159,2,3
92359,1,3
92789,2,2
93179,1,2
93579,2,1
93969,1,1
94359,2,2
94769,1,2
95169,2,3
95599,3,3
96019,2,2
96399,1,2
96799,2,3
97219,3,3
97599,2,2
97989,1,2
98389,2,1
98779,3,1
99219,2,2
99609,2,2
100009,2,3
100429,2,3
100809,2,2
100999,2,2
101189,2,2
101539,2,3
102389,2,2
102789,1,1
103219,2,1
103619,3,3
103999,2,3
104399,1,2
104789,2,3
104989,2,3
105209,3,3
105619,2,4
106019,1,4
106389,2,2
106799,3,2
107179,2,1
107579,1,1
107979,2,3
108369,3,3
108789,2,2
109189,3,2
109599,2,4
109979,3,4
110409,2,2
110799,1,2
111169,2,3
111599,1,3
111999,2,4
112349,2,4
112769,3,2
113179,3,2
113569,2,1
113969,2,1
114389,1,1
115239,2,2
115639,2,2
116019,3,4
116429,3,4
116769,2,2
117169,2,2
117559,4,1
117979,1,1
118389,2,3
118789,1,3
119199,2,2
119599,1,2
119989,2,4
120369,3,4
120779,2,3
121169,3,3
121569,2,1
121959,2,1
122349,3,3
122739,3,3
123169,4,1
123569,2,1
123969,3,2
124389,3,2
124799,2,4
125149,2,4
125569,1,2
125949,1,2
126389,2,3
126819,3,3
127239,2,1
127609,1,1
128029,2,3
128439,3,3
128819,2,4
129229,1,3
129619,2,2
129979,3,1
130349,2,2
130779,1,3
131179,2,4
131389,2,3
131599,3,3
131979,2,1
132169,2,1
132419,3,2
132819,2,3
133189,3,4
133619,2,4
133979,3,3
134409,2,2
134779,2,1
135189,1,1
135599,1,2
136019,2,3
136389,2,4
136779,3,4
137179,3,3
137549,2,2
137719,2,2
137949,1,1
138379,2,1
138589,2,3
138809,3,3
139199,2,4
139589,3,4
139979,2,2
140369,1,2
140369,4,4
140779,2,4
141209,3,4
141599,2,3
141989,3,3
142379,2,2
142779,1,2
143189,2,3
143359,2,3
143609,1,2
144009,2,1
144389,3,2
144779,2,3
145169,3,4
145559,2,3
145979,1,2
146399,2,3
146809,1,4
147209,2,3
147599,2,4
147989,1,3
148409,1,2
148829,2,1
149219,2,2
149599,3,1
149989,3,2
150379,2,3
150759,1,2
151159,2,3
151549,1,4
151989,2,3
152369,2,2
152779,3,3
153189,3,2
153599,2,1
154049,1,2
154439,2,1
154839,3,2
155199,2,3
155619,2,2
155979,3,3
156409,3,4
156799,2,3
157209,1,2
157589,2,1
157999,1,1
158399,2,2
158769,2,3
159179,1,4
159589,1,3
159999,4,4
160399,2,4
160779,2,3
161209,2,3
161589,2,2
161979,2,2
162389,2,1
162779,2,1
163209,2,3
163579,2,3
163979,2,2
164359,2,2
